% god. mj. dan. sat. NE  NW
 2003  4 27  0 -3.6607 -3.8009
 2003  4 27  1 -5.6349 -5.8754
 2003  4 27  2 -6.4218 -10.3872
 2003  4 27  3 -5.7974 -9.5669
 2003  4 27  4 -5.6484 -11.6263
 2003  4 27  5 -7.0642 -9.2841
 2003  4 27  6 -9.7950 -8.1737
 2003  4 27  7 -5.0742 -4.0800
 2003  4 27  8 -5.4252 -0.8496
 2003  4 27  9 -10.8107 -4.5969
 2003  4 27 10 -9.6935 -9.6339
 2003  4 27 11 -6.9453 -11.5048
 2003  4 27 12 -5.4454 -13.2156
 2003  4 27 13 -5.1870 -15.9875
 2003  4 27 14 -4.1581 -18.5953
 2003  4 27 15 -1.3893 -19.4797
 2003  4 27 16 -0.3485 -16.2220
 2003  4 27 17  0.5283 -12.0916
 2003  4 27 18 -1.8222 -7.1274
 2003  4 27 19 -0.3406  1.2932
 2003  4 27 20 -4.5482  5.8113
 2003  4 27 21 -5.6236  6.8619
 2003  4 27 22 -5.4006  3.9460
 2003  4 27 23 -3.3676  0.4208
 2003  4 28  0 -4.2061 -1.9063
 2003  4 28  1 -0.1153 -4.1528
 2003  4 28  2  2.9699 -7.2435
 2003  4 28  3  4.4378 -8.4261
 2003  4 28  4  2.3205 -6.5618
 2003  4 28  5 -0.1678 -5.0721
 2003  4 28  6 -1.9569 -3.6241
 2003  4 28  7 -3.5109  0.0105
 2003  4 28  8 -2.0720  4.0572
 2003  4 28  9 -3.2403  4.2263
 2003  4 28 10 -3.2217  2.9796
 2003  4 28 11 -2.1616 -1.2452
 2003  4 28 12 -1.5767 -4.0519
 2003  4 28 13 -3.0980 -6.6412
 2003  4 28 14 -0.6511 -11.0260
 2003  4 28 15  0.2620 -13.6888
 2003  4 28 16 -0.2993 -17.6548
 2003  4 28 17  1.0605 -13.5107
 2003  4 28 18  0.7601 -7.9277
 2003  4 28 19  0.3537 -2.9399
 2003  4 28 20 -1.9487  2.4217
 2003  4 28 21 -0.6349  8.5083
 2003  4 28 22 -0.5658 10.7517
 2003  4 28 23 -0.2692 11.0710
 2003  4 29  0 -1.1988  6.2752
 2003  4 29  1  0.6774 -0.1099
 2003  4 29  2  0.0027 -5.7859
 2003  4 29  3  0.4221 -11.2754
 2003  4 29  4  0.6188 -13.1220
 2003  4 29  5 -1.2871 -13.6837
 2003  4 29  6 -1.6088 -12.9285
 2003  4 29  7  1.3288 -9.8067
 2003  4 29  8  0.3008 -6.3910
 2003  4 29  9 -2.5219 -2.5336
 2003  4 29 10 -3.0494  1.2770
 2003  4 29 11 -2.4971  0.0534
 2003  4 29 12 -3.9057  0.0206
 2003  4 29 13 -5.8793  0.4968
 2003  4 29 14 -7.8622 -4.0132
 2003  4 29 15 -5.8744 -12.5592
 2003  4 29 16 -4.5781 -17.4117
 2003  4 29 17 -3.1224 -16.5510
 2003  4 29 18 -3.2633 -12.7141
 2003  4 29 19 -4.6187 -7.3082
 2003  4 29 20 -1.2971 -2.3654
 2003  4 29 21  3.4283  0.8930
 2003  4 29 22  6.9833  3.8398
 2003  4 29 23  9.6428  8.2623
 2003  4 30  0  5.0035  9.9266
 2003  4 30  1  1.6721  4.1545
 2003  4 30  2 -1.0924 -1.8954
 2003  4 30  3 -1.0483 -6.6823
 2003  4 30  4 -3.3654 -9.6990
 2003  4 30  5 -4.9009 -10.6412
 2003  4 30  6 -7.7144 -9.7148
 2003  4 30  7 -5.8595 -8.0918
 2003  4 30  8 -9.4217 -5.2858
 2003  4 30  9 -8.5703 -2.8413
 2003  4 30 10 -6.8584 -4.6672
 2003  4 30 11 -1.7658 -8.5766
 2003  4 30 12  1.1141 -11.0738
 2003  4 30 13  2.5651 -13.6269
 2003  4 30 14  7.5806 -16.7291
 2003  4 30 15  7.6008 -15.0288
 2003  4 30 16  8.6216 -16.4976
 2003  4 30 17  7.1647 -12.3035
 2003  4 30 18  9.1780 -6.5908
 2003  4 30 19  4.4696 -0.1539
 2003  4 30 20  3.6337  7.1258
 2003  4 30 21  0.6365 10.7432
 2003  4 30 22  0.4444 16.2823
 2003  4 30 23 -2.5698 23.3256
 2003  5  1  0 -9.4373 23.5419
 2003  5  1  1 -12.9323 17.4907
 2003  5  1  2 -13.6854  4.9750
 2003  5  1  3 -15.6028 -6.4533
 2003  5  1  4 -16.5246 -15.0058
 2003  5  1  5 -10.8303 -25.8713
 2003  5  1  6 -6.9490 -27.5683
 2003  5  1  7 -0.9916 -21.3880
 2003  5  1  8  5.0426 -20.0800
 2003  5  1  9  9.2731 -11.8575
 2003  5  1 10 13.3642 -5.3736
 2003  5  1 11 11.4032  0.1883
 2003  5  1 12  9.9918  3.8617
 2003  5  1 13  9.6939  4.8458
 2003  5  1 14  5.4060  0.3499
 2003  5  1 15  0.4247 -1.5056
 2003  5  1 16 -2.5632 -2.5369
 2003  5  1 17 -2.7146 -3.4105
 2003  5  1 18 -8.1197 -1.2011
 2003  5  1 19 -10.4499 -4.6637
 2003  5  1 20 -12.5297 -3.9097
 2003  5  1 21 -12.0444 -1.8918
 2003  5  1 22 -11.3227  2.1241
 2003  5  1 23 -9.4891 -1.0759
 2003  5  2  0 -6.2847 -1.0080
 2003  5  2  1  2.1627 -4.0289
 2003  5  2  2  1.8326 -2.9920
 2003  5  2  3  3.5809 -6.6502
 2003  5  2  4 10.0058 -10.7099
 2003  5  2  5  8.7973 -9.8198
 2003  5  2  6  5.8302 -10.4575
 2003  5  2  7  6.3884 -10.1687
 2003  5  2  8  3.1571 -4.6373
 2003  5  2  9  0.7870 -0.1536
 2003  5  2 10 -2.1975  5.0618
 2003  5  2 11 -4.9184  6.8247
 2003  5  2 12 -7.8464  4.8329
 2003  5  2 13 -9.1249 -0.8223
 2003  5  2 14 -10.1088 -5.3662
 2003  5  2 15 -8.2596 -12.7470
 2003  5  2 16 -6.3300 -16.3400
 2003  5  2 17 -5.3377 -20.7098
 2003  5  2 18 -2.2996 -23.1025
 2003  5  2 19  1.7224 -21.8200
 2003  5  2 20  5.9661 -16.5507
 2003  5  2 21  9.5945 -11.8856
 2003  5  2 22 11.5177 -2.7835
 2003  5  2 23 13.0981  4.2513
 2003  5  3  0  9.2427  8.0417
 2003  5  3  1  8.4876  7.8489
 2003  5  3  2  6.2393  9.0202
 2003  5  3  3  2.5837  8.8271
 2003  5  3  4 -5.7434  3.3503
 2003  5  3  5 -8.4398 -3.1176
 2003  5  3  6 -12.7478 -11.0197
 2003  5  3  7 -12.8347 -16.1527
 2003  5  3  8 -12.9820 -15.5563
 2003  5  3  9 -13.4388 -15.0687
 2003  5  3 10 -10.3708 -16.1081
 2003  5  3 11 -5.1714 -17.0032
 2003  5  3 12 -1.2160 -16.5100
 2003  5  3 13  5.1330 -18.2069
 2003  5  3 14 10.7855 -21.7429
 2003  5  3 15 15.0408 -24.2701
 2003  5  3 16 18.5636 -21.5467
 2003  5  3 17 15.8679 -12.9752
 2003  5  3 18 11.2539 -5.8612
 2003  5  3 19  7.3587 -1.8411
 2003  5  3 20  4.0418  2.5044
 2003  5  3 21 -0.7537  8.5015
 2003  5  3 22 -5.1706 11.1492
 2003  5  3 23 -8.8188 12.3163
 2003  5  4  0 -12.5666 11.3040
 2003  5  4  1 -15.5548  7.9236
 2003  5  4  2 -13.5583 -1.5176
 2003  5  4  3 -7.6432 -10.6262
 2003  5  4  4 -3.2855 -19.8662
 2003  5  4  5  1.6162 -28.5419
 2003  5  4  6  5.5564 -27.3824
 2003  5  4  7  9.1449 -27.0760
 2003  5  4  8 13.0016 -23.9633
 2003  5  4  9 15.3861 -15.4957
 2003  5  4 10 11.7503 -6.2427
 2003  5  4 11  8.2424  1.0942
 2003  5  4 12  5.9913  4.3675
 2003  5  4 13  1.4839  4.7021
 2003  5  4 14 -0.1581  3.6195
 2003  5  4 15 -2.5680  1.4641
 2003  5  4 16 -2.6070 -2.3214
 2003  5  4 17 -3.5001 -6.9641
 2003  5  4 18 -5.9686 -12.5449
 2003  5  4 19 -5.6480 -16.0169
 2003  5  4 20 -2.8823 -14.6152
 2003  5  4 21 -1.5218 -13.2292
 2003  5  4 22  2.5842 -9.6737
 2003  5  4 23  5.3924 -6.0992
 2003  5  5  0  7.8571 -2.1857
 2003  5  5  1 11.1437  0.1061
 2003  5  5  2 10.8695  4.7432
 2003  5  5  3  9.7894  4.6390
 2003  5  5  4  3.9797  3.9871
 2003  5  5  5  2.9454 -2.3215
 2003  5  5  6  0.5270 -4.9899
 2003  5  5  7 -1.4396 -7.0900
 2003  5  5  8 -4.1015 -10.0159
 2003  5  5  9 -6.1100 -10.2470
 2003  5  5 10 -5.9107 -9.1898
 2003  5  5 11 -5.7283 -10.3721
 2003  5  5 12 -2.4116 -6.8936
 2003  5  5 13  2.2122 -8.0852
 2003  5  5 14  3.7841 -6.5655
 2003  5  5 15  5.8724 -6.4059
 2003  5  5 16  6.0170 -12.0385
 2003  5  5 17  7.8340 -12.2859
 2003  5  5 18 11.5550 -11.8033
 2003  5  5 19 10.7166 -11.2556
 2003  5  5 20  9.5478 -6.4757
 2003  5  5 21  8.5897 -1.5678
 2003  5  5 22  5.7331  5.6272
 2003  5  5 23  1.9094 10.4823
 2003  5  6  0 -3.2510 14.2274
 2003  5  6  1 -5.2649 11.2754
 2003  5  6  2 -4.4946  7.6682
 2003  5  6  3 -4.2051  5.4018
 2003  5  6  4 -1.1232 -2.3024
 2003  5  6  5  0.4595 -5.9994
 2003  5  6  6  3.1008 -7.6994
 2003  5  6  7  1.9258 -14.0091
 2003  5  6  8  6.4246 -13.6636
 2003  5  6  9  6.4428 -12.0938
 2003  5  6 10  7.4208 -9.8947
 2003  5  6 11  6.4812 -8.4592
 2003  5  6 12  7.2412 -2.0493
 2003  5  6 13  5.0759  0.1392
 2003  5  6 14  5.3223 -2.3839
 2003  5  6 15  5.9874 -3.3033
 2003  5  6 16  5.4301 -4.8992
 2003  5  6 17  4.8864 -5.1663
 2003  5  6 18  4.0089 -7.7566
 2003  5  6 19  6.2784 -7.2279
 2003  5  6 20  4.3532 -6.7867
 2003  5  6 21  5.7326 -6.3711
 2003  5  6 22  6.5143 -2.6234
 2003  5  6 23  7.0480  0.3374
 2003  5  7  0  6.3969  4.1605
 2003  5  7  1  4.9048  4.4096
 2003  5  7  2  4.6176  4.2968
 2003  5  7  3  4.9876  3.7489
 2003  5  7  4  5.0377  2.7734
 2003  5  7  5  7.0443  1.4715
 2003  5  7  6  5.9050 -0.1759
 2003  5  7  7  4.5818 -3.4943
 2003  5  7  8  5.1658 -6.8969
 2003  5  7  9  7.0088 -10.2003
 2003  5  7 10  6.1301 -9.2799
 2003  5  7 11  5.1931 -8.4762
 2003  5  7 12  5.5931 -6.4737
 2003  5  7 13  4.3715 -5.3249
 2003  5  7 14  4.3903 -4.8446
 2003  5  7 15  4.6981 -6.1055
 2003  5  7 16  5.8871 -6.2098
 2003  5  7 17  6.7458 -7.4190
 2003  5  7 18  6.2639 -11.1127
 2003  5  7 19  9.2723 -12.3108
 2003  5  7 20 10.1866 -12.2047
 2003  5  7 21 11.2806 -8.1683
 2003  5  7 22  9.6751 -5.7120
 2003  5  7 23 10.0140 -1.6031
 2003  5  8  0  9.6831  2.5438
 2003  5  8  1 11.2049  4.5919
 2003  5  8  2 10.7746  5.7585
 2003  5  8  3  9.9048  6.5014
 2003  5  8  4  8.6666  6.9368
 2003  5  8  5  9.4231  5.1146
 2003  5  8  6  4.7739  1.6984
 2003  5  8  7  3.4002 -3.3674
 2003  5  8  8  3.6189 -9.8477
 2003  5  8  9  4.4552 -11.6330
 2003  5  8 10  4.3851 -16.2206
 2003  5  8 11  3.4412 -17.4373
 2003  5  8 12  2.1374 -19.0990
 2003  5  8 13  6.1146 -15.8332
 2003  5  8 14  7.0604 -14.9430
 2003  5  8 15  9.8232 -13.2897
 2003  5  8 16  9.1628 -9.5182
 2003  5  8 17 10.3018 -5.0671
 2003  5  8 18 10.8918 -0.9907
 2003  5  8 19  9.6351 -1.0614
 2003  5  8 20 11.3959  4.0791
 2003  5  8 21  7.7498  4.9930
 2003  5  8 22  3.4858  7.5194
 2003  5  8 23 -2.2476  5.0740
 2003  5  9  0 -1.7522  5.6419
 2003  5  9  1 -2.3703  2.3272
 2003  5  9  2 -5.6823  0.7591
 2003  5  9  3 -6.6461 -3.3541
 2003  5  9  4 -1.6520 -5.5958
 2003  5  9  5 -1.7289 -8.2669
 2003  5  9  6  0.5125 -6.5632
 2003  5  9  7  3.6778 -5.3768
 2003  5  9  8  5.5969 -8.5257
 2003  5  9  9  7.7354 -8.9686
 2003  5  9 10  8.4272 -10.8569
 2003  5  9 11  9.7263 -13.1848
 2003  5  9 12  8.8708 -11.4034
 2003  5  9 13  8.3750 -7.2438
 2003  5  9 14  5.2646 -4.0930
 2003  5  9 15  5.1445 -0.7088
 2003  5  9 16  3.5041  3.4675
 2003  5  9 17  1.2506  5.4867
 2003  5  9 18 -0.5872  4.1825
 2003  5  9 19 -3.2064  4.1998
 2003  5  9 20 -5.9908  1.2192
 2003  5  9 21 -4.6802 -0.9305
 2003  5  9 22 -1.5503 -3.2528
 2003  5  9 23 -1.4005 -5.4285
 2003  5 10  0  0.1256 -8.4996
 2003  5 10  1  2.2114 -7.5121
 2003  5 10  2  2.3313 -3.6353
 2003  5 10  3  4.6640 -0.8654
 2003  5 10  4  6.1266  0.6608
 2003  5 10  5  7.0291  3.5884
 2003  5 10  6  5.6751  3.5279
 2003  5 10  7  4.3661  4.1876
 2003  5 10  8  3.8778  5.2116
 2003  5 10  9  1.0100  5.3600
 2003  5 10 10  0.8600  1.3290
 2003  5 10 11 -1.7855 -2.0032
 2003  5 10 12 -3.7422 -7.5215
 2003  5 10 13 -3.8118 -10.7071
 2003  5 10 14 -5.8570 -11.6792
 2003  5 10 15 -5.1287 -11.8189
 2003  5 10 16 -4.0535 -8.7388
 2003  5 10 17 -4.1700 -5.2657
 2003  5 10 18 -0.5820 -3.3303
 2003  5 10 19  0.8912 -0.1177
 2003  5 10 20  3.3952  1.2166
 2003  5 10 21  6.2127  2.6624
 2003  5 10 22  5.8465  2.3187
 2003  5 10 23  5.7141  0.9451
 2003  5 11  0  5.6236  1.1761
 2003  5 11  1  5.2770  0.5947
 2003  5 11  2  4.0559  1.3870
 2003  5 11  3  2.7772  4.5822
 2003  5 11  4 -0.8497  4.2461
 2003  5 11  5 -5.8937  5.4676
 2003  5 11  6 -6.7335  5.4323
 2003  5 11  7 -7.3066  5.6460
 2003  5 11  8 -7.4033  1.6666
 2003  5 11  9 -4.8771 -1.8913
 2003  5 11 10 -2.2195 -6.1402
 2003  5 11 11  1.6396 -10.9286
 2003  5 11 12  3.8953 -12.2041
 2003  5 11 13  4.9490 -14.3119
 2003  5 11 14  6.1624 -11.2007
 2003  5 11 15  6.8308 -7.6100
 2003  5 11 16  6.9659 -3.5409
 2003  5 11 17  4.9185  3.5293
 2003  5 11 18  3.9037  8.3263
 2003  5 11 19  0.1339 13.3220
 2003  5 11 20 -3.7335 13.1367
 2003  5 11 21 -4.1168 13.5099
 2003  5 11 22 -3.5418 12.0745
 2003  5 11 23 -3.9084  8.6226
 2003  5 12  0 -6.1919  4.0096
 2003  5 12  1 -7.8691 -2.3145
 2003  5 12  2 -6.2946 -7.3878
 2003  5 12  3 -3.1980 -10.4712
 2003  5 12  4 -2.8614 -8.4400
 2003  5 12  5  0.8756 -4.1877
 2003  5 12  6  3.5568 -0.0977
 2003  5 12  7  4.2520  4.9263
 2003  5 12  8  2.8805 11.1930
 2003  5 12  9  2.6184 11.1166
 2003  5 12 10  0.5209  9.8458
 2003  5 12 11  1.3428  5.7869
 2003  5 12 12  0.7689  2.7874
 2003  5 12 13  0.0028 -2.0605
 2003  5 12 14 -1.1915 -5.9871
 2003  5 12 15 -4.3172 -6.3266
 2003  5 12 16 -5.5703 -4.7204
 2003  5 12 17 -5.9889 -3.3725
 2003  5 12 18 -3.9883  2.0103
 2003  5 12 19 -2.7225  7.4175
 2003  5 12 20 -1.6636  9.8860
 2003  5 12 21  0.0869 13.3045
 2003  5 12 22  0.4732 14.1415
 2003  5 12 23  3.6436 10.2782
 2003  5 13  0  3.3301  6.8274
 2003  5 13  1  3.5958  3.1466
 2003  5 13  2  2.9221 -0.4815
 2003  5 13  3  2.4386 -2.3712
 2003  5 13  4  2.8052 -2.6602
 2003  5 13  5  1.7036 -0.1628
 2003  5 13  6  1.1285  3.9176
 2003  5 13  7 -1.7132  7.9753
 2003  5 13  8 -1.9870  9.0307
 2003  5 13  9 -2.8583 10.1430
 2003  5 13 10 -2.7787 10.5330
 2003  5 13 11 -3.5959  6.2413
 2003  5 13 12 -1.3332  1.9005
 2003  5 13 13 -0.7600 -4.3965
 2003  5 13 14 -1.1339 -9.2122
 2003  5 13 15  0.1757 -11.3671
 2003  5 13 16 -1.2935 -9.6096
 2003  5 13 17 -1.5304 -6.1139
 2003  5 13 18 -2.0629 -1.6860
 2003  5 13 19 -2.0962  5.4247
 2003  5 13 20  2.0669 11.2401
 2003  5 13 21  2.6768 16.4031
 2003  5 13 22  2.5990 20.8815
 2003  5 13 23  3.2187 19.0389
 2003  5 14  0  0.7063 14.9332
 2003  5 14  1 -0.0681  8.6179
 2003  5 14  2 -2.2348  3.0170
 2003  5 14  3 -2.8555 -6.4552
 2003  5 14  4 -1.2008 -8.5484
 2003  5 14  5 -1.0846 -8.2371
 2003  5 14  6 -0.2786 -5.1618
 2003  5 14  7  1.2398  0.1869
 2003  5 14  8  2.1695  5.8278
